SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
626,UP,Uttar Pradesh,UP_Ballia,Ballia,6876,275,6510,91,0,0,0,0,0,,
627,UP,Uttar Pradesh,UP_Balrampur,Balrampur,1825,93,1705,27,0,0,0,0,0,,
628,UP,Uttar Pradesh,UP_Banda,Banda,2817,192,2593,32,0,0,0,0,0,,
629,UP,Uttar Pradesh,UP_Barabanki,Barabanki,7075,180,6815,80,0,0,0,0,0,,
630,UP,Uttar Pradesh,UP_Bareilly,Bareilly,12171,467,11550,154,0,0,0,0,0,,
631,UP,Uttar Pradesh,UP_Basti,Basti,4586,224,4272,90,0,0,0,0,0,,
632,UP,Uttar Pradesh,UP_Bhadohi,Bhadohi,1946,114,1814,18,0,0,0,0,0,,
633,UP,Uttar Pradesh,UP_Bijnor,Bijnor,3571,248,3270,53,0,0,0,0,0,,
634,UP,Uttar Pradesh,UP_Budaun,Budaun,3194,151,3002,41,0,0,0,0,0,,
635,UP,Uttar Pradesh,UP_Bulandshahr,Bulandshahr,4693,357,4261,75,0,0,0,0,0,,
636,UP,Uttar Pradesh,UP_Chandauli,Chandauli,3863,111,3706,46,0,0,0,0,0,,
637,UP,Uttar Pradesh,UP_Chitrakoot,Chitrakoot,1834,113,1709,12,0,0,0,0,0,,
638,UP,Uttar Pradesh,UP_Deoria,Deoria,6308,173,6049,86,0,0,0,0,0,,
639,UP,Uttar Pradesh,UP_Etah,Etah,2094,170,1903,21,0,0,0,0,0,,
640,UP,Uttar Pradesh,UP_Etawah,Etawah,4890,197,4618,75,0,0,0,0,0,,
642,UP,Uttar Pradesh,UP_Farrukhabad,Farrukhabad,3989,226,3704,59,0,0,0,0,0,,
643,UP,Uttar Pradesh,UP_Fatehpur,Fatehpur,3075,233,2792,50,0,0,0,0,0,,
644,UP,Uttar Pradesh,UP_Firozabad,Firozabad,3085,118,2907,60,0,0,0,0,0,,
645,UP,Uttar Pradesh,UP_Gautam Buddha Nagar,Gautam Buddha Nagar,18679,1443,17168,68,0,0,0,0,0,,
646,UP,Uttar Pradesh,UP_Ghaziabad,Ghaziabad,19120,1146,17890,84,0,0,0,0,0,,
647,UP,Uttar Pradesh,UP_Ghazipur,Ghazipur,4499,150,4282,67,0,0,0,0,0,,
648,UP,Uttar Pradesh,UP_Gonda,Gonda,4510,169,4289,52,0,0,0,0,0,,
649,UP,Uttar Pradesh,UP_Gorakhpur,Gorakhpur,19143,577,18261,305,0,0,0,0,0,,
650,UP,Uttar Pradesh,UP_Hamirpur,Hamirpur,1325,60,1246,19,0,0,0,0,0,,
651,UP,Uttar Pradesh,UP_Hapur,Hapur,3393,199,3136,58,0,0,0,0,0,,
652,UP,Uttar Pradesh,UP_Hardoi,Hardoi,5314,182,5038,94,0,0,0,0,0,,
653,UP,Uttar Pradesh,UP_Hathras,Hathras,1136,28,1101,7,0,0,0,0,0,,
654,UP,Uttar Pradesh,UP_Jalaun,Jalaun,2983,187,2760,36,0,0,0,0,0,,
655,UP,Uttar Pradesh,UP_Jaunpur,Jaunpur,5888,258,5545,85,0,0,0,0,0,,
656,UP,Uttar Pradesh,UP_Jhansi,Jhansi,8482,276,8035,171,0,0,0,0,0,,
657,UP,Uttar Pradesh,UP_Kannauj,Kannauj,3068,94,2932,42,0,0,0,0,0,,
658,UP,Uttar Pradesh,UP_Kanpur Dehat,Kanpur Dehat,1868,227,1614,27,0,0,0,0,0,,
659,UP,Uttar Pradesh,UP_Kanpur Nagar,Kanpur Nagar,28082,611,26737,734,0,0,0,0,0,,
660,UP,Uttar Pradesh,UP_Kasganj,Kasganj,1686,180,1501,5,0,0,0,0,0,,
661,UP,Uttar Pradesh,UP_Kaushambi,Kaushambi,1957,79,1855,23,0,0,0,0,0,,
663,UP,Uttar Pradesh,UP_Kushinagar,Kushinagar,5391,223,5111,57,0,0,0,0,0,,
662,UP,Uttar Pradesh,UP_Lakhimpur Kheri,Lakhimpur Kheri,6774,350,6350,74,0,0,0,0,0,,
664,UP,Uttar Pradesh,UP_Lalitpur,Lalitpur,2882,47,2792,43,0,0,0,0,0,,
665,UP,Uttar Pradesh,UP_Lucknow,Lucknow,64311,3096,60321,894,0,0,0,0,0,,
667,UP,Uttar Pradesh,UP_Maharajganj,Maharajganj,5500,134,5278,88,0,0,0,0,0,,
666,UP,Uttar Pradesh,UP_Mahoba,Mahoba,1077,38,1030,9,0,0,0,0,0,,
668,UP,Uttar Pradesh,UP_Mainpuri,Mainpuri,3186,155,2980,51,0,0,0,0,0,,
669,UP,Uttar Pradesh,UP_Mathura,Mathura,5117,352,4669,96,0,0,0,0,0,,
670,UP,Uttar Pradesh,UP_Mau,Mau,2831,78,2717,36,0,0,0,0,0,,
671,UP,Uttar Pradesh,UP_Meerut,Meerut,14149,1498,12316,335,0,0,0,0,0,,
672,UP,Uttar Pradesh,UP_Mirzapur,Mirzapur,2914,137,2740,37,0,0,0,0,0,,
673,UP,Uttar Pradesh,UP_Moradabad,Moradabad,10457,245,10045,167,0,0,0,0,0,,
674,UP,Uttar Pradesh,UP_Muzaffarnagar,Muzaffarnagar,6141,313,5748,80,0,0,0,0,0,,
675,UP,Uttar Pradesh,UP_Pilibhit,Pilibhit,3746,73,3600,73,0,0,0,0,0,,
676,UP,Uttar Pradesh,UP_Pratapgarh,Pratapgarh,4520,238,4226,56,0,0,0,0,0,,
677,UP,Uttar Pradesh,UP_Prayagraj,Prayagraj,24188,855,23006,327,0,0,0,0,0,,
678,UP,Uttar Pradesh,UP_Rae Bareli,Rae Bareli,3996,264,3637,95,0,0,0,0,0,,
679,UP,Uttar Pradesh,UP_Rampur,Rampur,5052,90,4914,48,0,0,0,0,0,,
680,UP,Uttar Pradesh,UP_Saharanpur,Saharanpur,7914,242,7553,119,0,0,0,0,0,,
681,UP,Uttar Pradesh,UP_Sambhal,Sambhal,2773,169,2565,39,0,0,0,0,0,,
682,UP,Uttar Pradesh,UP_Sant Kabir Nagar,Sant Kabir Nagar,2984,54,2888,42,0,0,0,0,0,,
683,UP,Uttar Pradesh,UP_Shahjahanpur,Shahjahanpur,6374,121,6158,95,0,0,0,0,0,,
684,UP,Uttar Pradesh,UP_Shamli,Shamli,2879,100,2752,27,0,0,0,0,0,,
685,UP,Uttar Pradesh,UP_Shrawasti,Shrawasti,1124,62,1049,13,0,0,0,0,0,,
686,UP,Uttar Pradesh,UP_Siddharthnagar,Siddharthnagar,3767,124,3599,44,0,0,0,0,0,,
687,UP,Uttar Pradesh,UP_Sitapur,Sitapur,4227,183,3979,65,0,0,0,0,0,,
688,UP,Uttar Pradesh,UP_Sonbhadra,Sonbhadra,3869,459,3355,55,0,0,0,0,0,,
689,UP,Uttar Pradesh,UP_Sultanpur,Sultanpur,4021,228,3728,65,0,0,0,0,0,,
690,UP,Uttar Pradesh,UP_Unnao,Unnao,4044,274,3695,75,0,0,0,0,0,,
691,UP,Uttar Pradesh,UP_Varanasi,Varanasi,17926,955,16631,340,0,0,0,0,0,,
692,UT,Uttarakhand,UT_Almora,Almora,1892,112,1744,10,26,0,0,0,0,,
693,UT,Uttarakhand,UT_Bageshwar,Bageshwar,956,103,845,8,0,0,0,0,0,,
694,UT,Uttarakhand,UT_Chamoli,Chamoli,1895,223,1646,1,25,0,0,0,0,,
695,UT,Uttarakhand,UT_Champawat,Champawat,1158,108,1036,6,8,0,0,0,0,,
696,UT,Uttarakhand,UT_Dehradun,Dehradun,17573,638,16172,596,167,0,0,0,0,,
697,UT,Uttarakhand,UT_Haridwar,Haridwar,11115,445,10482,124,64,0,0,0,0,,
698,UT,Uttarakhand,UT_Nainital,Nainital,7442,448,6809,146,39,0,0,0,0,,
699,UT,Uttarakhand,UT_Pauri Garhwal,Pauri Garhwal,3127,469,2603,31,24,0,0,0,0,,
700,UT,Uttarakhand,UT_Pithoragarh,Pithoragarh,1533,200,1327,6,0,0,0,0,0,,
701,UT,Uttarakhand,UT_Rudraprayag,Rudraprayag,1375,287,1083,3,2,0,0,0,0,,
702,UT,Uttarakhand,UT_Tehri Garhwal,Tehri Garhwal,3161,274,2866,5,16,0,0,0,0,,
703,UT,Uttarakhand,UT_Udham Singh Nagar,Udham Singh Nagar,9604,320,9092,93,99,0,0,0,0,,
704,UT,Uttarakhand,UT_Uttarkashi,Uttarkashi,2754,191,2516,9,38,0,0,0,0,,
705,WB,West Bengal,WB_Alipurduar,Alipurduar,6550,240,6233,77,0,34,-13,46,1,,
706,WB,West Bengal,WB_Bankura,Bankura,8319,739,7503,77,0,72,-159,231,0,,
707,WB,West Bengal,WB_Birbhum,Birbhum,6575,627,5892,56,0,84,-172,255,1,,
708,WB,West Bengal,WB_Cooch Behar,Cooch Behar,9037,957,8026,54,0,85,1,84,0,,
709,WB,West Bengal,WB_Dakshin Dinajpur,Dakshin Dinajpur,7139,407,6678,54,0,35,-9,44,0,,
710,WB,West Bengal,WB_Darjeeling,Darjeeling,12187,1410,10634,143,0,136,32,103,1,,
711,WB,West Bengal,WB_Hooghly,Hooghly,19227,1663,17228,336,0,222,70,148,4,,
712,WB,West Bengal,WB_Howrah,Howrah,26575,2065,23747,763,0,270,47,216,7,,
713,WB,West Bengal,WB_Jalpaiguri,Jalpaiguri,9582,1063,8427,92,0,102,35,66,1,,
714,WB,West Bengal,WB_Jhargram,Jhargram,1948,235,1701,12,0,39,-27,66,0,,
715,WB,West Bengal,WB_Kalimpong,Kalimpong,1480,78,1387,15,0,11,-18,29,0,,
716,WB,West Bengal,WB_Kolkata,Kolkata,85690,7099,76317,2274,0,855,115,725,15,,
717,WB,West Bengal,WB_Malda,Malda,10200,1066,9046,88,0,54,44,10,0,,
719,WB,West Bengal,WB_Murshidabad,Murshidabad,9137,836,8201,100,0,82,-62,144,0,,
720,WB,West Bengal,WB_Nadia,Nadia,13163,1838,11162,163,0,192,-139,328,3,,
721,WB,West Bengal,WB_North 24 Parganas,North 24 Parganas,80561,6751,72164,1646,0,836,99,723,14,,
0,WB,West Bengal,WB_Other State,Other State,66,0,63,3,0,0,0,0,0,,
722,WB,West Bengal,WB_Paschim Bardhaman,Paschim Bardhaman,10861,1220,9535,106,0,110,16,93,1,,
718,WB,West Bengal,WB_Paschim Medinipur,Paschim Medinipur,15122,1790,13112,220,0,218,16,198,4,,
723,WB,West Bengal,WB_Purba Bardhaman,Purba Bardhaman,8257,956,7227,74,0,76,-75,151,0,,
724,WB,West Bengal,WB_Purba Medinipur,Purba Medinipur,15551,1516,13834,201,0,98,1,97,0,,
725,WB,West Bengal,WB_Purulia,Purulia,5377,493,4854,30,0,23,-21,44,0,,
726,WB,West Bengal,WB_South 24 Parganas,South 24 Parganas,25971,2546,22941,484,0,270,-72,340,2,,
727,WB,West Bengal,WB_Uttar Dinajpur,Uttar Dinajpur,4949,358,4537,54,0,44,-2,46,0,,
728,AN,Andaman and Nicobar Islands,AN_Unknown,Unknown,4337,147,4130,60,0,0,0,0,0,,
729,AP,Andhra Pradesh,AP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
730,AR,Arunachal Pradesh,AR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
731,AS,Assam,AS_Unknown,Unknown,95755,-58035,153542,245,3,0,0,0,0,,
732,BR,Bihar,BR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
733,CH,Chandigarh,CH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
734,CT,Chhattisgarh,CT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
735,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
737,DL,Delhi,DL_Unknown,Unknown,415865,37942,371155,6768,0,0,0,0,0,,
738,GA,Goa,GA_Unknown,Unknown,38165,-1561,39288,438,0,0,0,0,0,,
739,GJ,Gujarat,GJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
740,HR,Haryana,HR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
741,HP,Himachal Pradesh,HP_Unknown,Unknown,0,-3,0,0,3,0,0,0,0,,
742,JK,Jammu and Kashmir,JK_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
743,JH,Jharkhand,JH_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
744,KA,Karnataka,KA_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
745,KL,Kerala,KL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
746,LA,Ladakh,LA_Unknown,Unknown,0,-1,0,1,0,0,0,0,0,,
747,LD,Lakshadweep,LD_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
748,MP,Madhya Pradesh,MP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
749,MH,Maharashtra,MH_Unknown,Unknown,5246,-6148,11277,117,0,0,0,0,0,,
750,MN,Manipur,MN_Unknown,Unknown,425,-13451,13828,48,0,0,0,0,0,,
751,ML,Meghalaya,ML_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
752,MZ,Mizoram,MZ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
753,NL,Nagaland,NL_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
754,OR,Odisha,OR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
755,PY,Puducherry,PY_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
756,PB,Punjab,PB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
757,RJ,Rajasthan,RJ_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
758,SK,Sikkim,SK_Unknown,Unknown,2057,-557,2462,70,82,0,0,0,0,,
759,TN,Tamil Nadu,TN_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
760,TG,Telangana,TG_Unknown,Unknown,496,-224966,224135,1327,0,0,0,0,0,,
761,TR,Tripura,TR_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
762,UP,Uttar Pradesh,UP_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
763,UT,Uttarakhand,UT_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
764,WB,West Bengal,WB_Unknown,Unknown,0,0,0,0,0,0,0,0,0,,
